Player,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"Didier Drogba

Chelsea, 42, FW",31(1),2775,29,10,5.6,1.8,1.2,1.7,1.1,2.3,-,8.32
"Cesc Fàbregas

Arsenal, 33, M(CL),FW",26(1),2194,15,13,3.2,3.5,1.9,1.8,0.1,2.7,-,8.25
"Robin van Persie

Arsenal, 37, AM(C),FW",14(2),1256,9,7,4.8,2.6,0.9,1.4,1.1,2,-,8.07
"Luís Boa Morte

West Ham, 43, AM(C),FW",1,64,1,-,2,1,1,2,1,2,-,8.01
"Frank Lampard

Chelsea, 42, M(C)",36,3220,22,14,3.9,3.2,0.4,0.8,0.1,1.4,-,7.95
"Wayne Rooney

Man Utd, 34, M(CLR),FW",32,2723,26,3,5.7,1.8,1.3,0.9,0.9,2.7,-,7.91
"Mikel Arteta

Everton, 38, M(C)",11(2),1031,6,1,1.8,2.5,0.2,2.2,-,1,-,7.84
"Rafael

Man Utd, 30, D(LR),M(R)",8,683,1,1,0.4,0.8,1.1,1.5,-,1,-,7.82
"Abou Diaby

Arsenal, 34, M(C)",26(3),2322,6,3,1.3,1.2,2.7,1.6,0.1,2.9,-,7.76
"James Collins

West Ham, 37, D(C)",3,270,-,-,0.3,-,-,0.7,-,-,-,7.73
"Fernando Torres

Liverpool, 36, FW",20(2),1718,18,3,3.6,1,1.4,2.2,1,2.1,-,7.65
"Gareth Bale

Tottenham, 31, M(CLR),FW",18(5),1707,3,5,1.7,1.7,2,1.3,0.1,1.6,-,7.64
"Florent Malouda

Chelsea, 40, M(CL)",26(7),2304,12,8,1.9,2.5,1.4,1.2,0.2,1.5,-,7.63
"Richard Dunne

Man City, 40, D(C)",2,180,-,-,-,-,-,-,-,-,-,7.61
"Glen Johnson

Liverpool, 36, D(CLR),M(R)",24(1),2141,3,3,1.1,1.4,2.1,1.2,-,1.2,-,7.61
"Michael Essien

Chelsea, 37, D(R),DMC",13(1),1195,3,-,2.8,0.9,1.1,1.8,0.1,1.1,-,7.60
"Nicolas Anelka

Chelsea, 41, FW",31(2),2705,11,7,3,1.8,1,1.1,0.8,2,-,7.60
"Nemanja Vidic

Man Utd, 38, D(C)",24,2107,1,-,0.5,0.1,0.1,1,-,0.3,-,7.59
"Ciaran Clark

Aston Villa, 30, D(CL)",1,90,-,-,1,-,-,1,-,-,-,7.58
"Michael Dawson

Tottenham, 36, D(C)",25(4),2334,2,-,0.5,0.3,0.1,0.9,-,0.2,-,7.58
"Carlos Tevez

Man City, 36, AM(CL),FW",32(3),2871,23,7,3.6,1.5,1.3,1.8,0.5,2.7,-,7.57
"Christopher Samba

Blackburn, 36, D(C)",30,2597,4,-,1.6,0.5,0.5,0.6,0.1,0.3,-,7.55
"Curtis Davies

Aston Villa, 35, D(C)",2,180,1,-,1,-,0.5,0.5,-,-,-,7.55
"Grant Hanley

Blackburn, 28, D(C)",1,90,-,-,1,-,-,2,-,-,-,7.54
"Ritchie de Laet

Man Utd, 31, D(LR)",2,148,-,-,0.5,0.5,1.5,0.5,-,2.5,-,7.53
"Steven Gerrard

Liverpool, 40, M(C)",32(1),2850,9,7,3.2,2.4,1.1,0.9,-,1,-,7.52
"Alexandre Song

Arsenal, 32, M(C)",25(1),2240,1,1,0.5,0.9,1.2,1.5,-,1.6,-,7.50
"Nani

Man Utd, 33, M(CLR),FW",19(4),1590,4,6,2.7,2.2,1.3,1.5,0.1,2.3,-,7.49
"Marouane Fellaini

Everton, 32, M(C)",20(3),1763,2,2,1.6,1,0.3,1.2,0.3,2.2,-,7.49
"Carlos Cuellar

Aston Villa, 39, D(C)",36,3240,2,1,0.4,0.4,0.3,0.4,-,0.5,-,7.48
"Tom Huddlestone

Tottenham, 33, DMC",33,2851,2,3,2.5,1.6,0.4,1,-,1.1,-,7.48
"Kieran Gibbs

Arsenal, 30, D(L),M(L)",3,270,-,-,0.3,0.3,1,0.7,0.3,0.3,-,7.48
"Luis Antonio Valencia

Man Utd, 35, D(R),M(R)",29(5),2615,5,7,1.1,2.6,1.5,0.9,0.2,2.2,-,7.47
"Branislav Ivanovic

Chelsea, 36, D(CR)",25(3),2256,1,5,0.9,1.1,0.6,1.2,-,0.5,-,7.47
"Richard Dunne

Aston Villa, 40, D(C)",35,3132,3,-,0.6,0.2,0.2,0.4,-,0.2,-,7.46
"Ryan Giggs

Man Utd, 46, M(CL)",20(5),1815,5,9,1.2,2.7,1.1,0.8,0.2,2.4,-,7.44
"Deco

Chelsea, 43, M(C)",14(5),1240,2,2,1,2.2,1.3,1.1,-,2,-,7.43
"Danny Rose

Tottenham, 30, D(L),M(L)",1,46,1,-,1,-,-,1,-,-,-,7.42
"Patrice Evra

Man Utd, 39, D(CL),M(L)",37(1),3288,-,3,0.8,0.9,1.3,1.3,0.2,1.4,-,7.42
"Gareth Barry

Man City, 39, M(C)",34,2996,2,7,0.9,1.5,0.5,1.6,0.1,1.4,-,7.41
"Dimitar Berbatov

Man Utd, 39, AM(C),FW",24(9),2096,12,5,3,1.6,0.9,1.1,0.7,2.2,-,7.41
"Ashley Cole

Chelsea, 39, D(L),M(L)",25(2),2157,4,3,0.6,1.1,0.9,1.5,0.3,1.1,-,7.41
"José Bosingwa

Chelsea, 38, D(CLR)",8,649,-,1,1,1.6,1.3,1.3,0.3,1.1,-,7.40
"Mohamed Diamé

Wigan, 33, M(CLR)",34,2865,1,1,1,0.7,1.9,1.5,-,2.3,-,7.40
"Niko Kranjcar

Tottenham, 36, M(CL)",19(5),1661,6,6,2.2,2.1,0.8,1.4,0.1,2,-,7.39
"Gaël Clichy

Arsenal, 35, D(L)",23(1),2086,-,1,0.3,0.5,1,1,-,0.5,-,7.38
"Steve Simonsen

Stoke, 41, Goalkeeper",2(1),229,-,-,-,0.3,-,-,-,-,-,7.38
"Thomas Vermaelen

Arsenal, 34, D(CL)",33,2799,7,1,1.2,0.2,0.3,1,0.1,0.3,-,7.38
"Sylvain Distin

Everton, 42, D(C)",29,2590,-,1,0.2,0.2,0.3,0.8,-,0.2,-,7.37
"James Milner

Aston Villa, 34, D(LR),M(CLR)",36,3175,7,12,1.8,1.9,0.7,1.6,0.1,2.3,-,7.37
"Alex

Chelsea, 38, D(C)",13(3),1269,1,-,1.8,0.2,0.4,0.1,-,0.1,-,7.37
"Emmanuel Adebayor

Man City, 36, FW",25(1),2212,14,3,2.2,1.4,1.2,1.2,1.8,3.2,-,7.37
"Jonny Evans

Man Utd, 32, D(CL)",18,1587,-,-,0.4,0.2,0.2,0.8,-,0.2,-,7.37
"Steven Pienaar

Everton, 38, M(CL)",30,2663,4,2,1.7,1.7,1.2,3.2,0.1,2.8,-,7.35
"Andy Reid

Sunderland, 38, M(CL)",18(3),1645,2,6,1.6,2.3,1.2,1.4,-,2.3,-,7.35
"Franck Queudrue

Birmingham, 42, DMC",6,496,-,-,0.3,0.2,0.3,1.7,-,0.2,-,7.34
"Younes Kaboul

Portsmouth, 34, D(C)",19,1710,3,-,1.6,0.5,0.6,0.8,0.1,0.4,-,7.34
"Scott Parker

West Ham, 39, M(C)",30(1),2576,2,3,1.4,1.1,1.3,2.1,0.1,1.4,-,7.33
"Aaron Lennon

Tottenham, 33, M(LR)",20(2),1805,3,9,1.1,1.9,1.8,2,0.2,1.1,-,7.33
"Benoit Assou-Ekotto

Tottenham, 36, D(L)",29(1),2535,1,2,0.4,1.1,0.7,1.1,-,0.8,-,7.33
"Darren Fletcher

Man Utd, 36, M(C)",29(1),2577,4,4,1.2,1.5,0.4,1.1,-,2,-,7.33
"Phil Jagielka

Everton, 38, D(CR)",11(1),1035,-,-,0.6,0.3,-,0.9,0.1,0.4,-,7.33
"Stiliyan Petrov

Aston Villa, 41, D(C),M(CR),FW",37,3272,-,1,1,0.8,0.6,2.3,-,1.2,-,7.33
"Gary Cahill

Bolton, 34, D(C)",29,2610,5,1,1.3,0.1,0.3,1.1,-,0.3,-,7.33
"Darren Bent

Sunderland, 36, FW",38,3393,24,1,3,0.8,0.4,0.7,1.5,1.2,-,7.30
"Luka Modric

Tottenham, 34, M(C)",21(4),1916,3,3,2,1.8,2,1.7,-,1.4,-,7.30
"Kolo Touré

Man City, 39, D(C)",31,2711,1,-,0.4,0.2,0.5,0.5,-,0.3,-,7.29
"Carlo Cudicini

Tottenham, 47, GK",6(1),613,-,-,-,0.1,-,0.3,-,-,-,7.28
"Sotirios Kyrgiakos

Liverpool, 41, D(L),DMC",13(1),1193,1,-,0.9,0.1,0.1,1.1,-,0.3,-,7.28
"Kenwyne Jones

Sunderland, 35, FW",24(8),2185,9,3,1.9,0.8,0.5,1.8,0.2,2.3,-,7.27
"Peter Crouch

Tottenham, 39, FW",21(17),2209,8,6,2.6,1.4,0.3,1.1,0.5,1.6,-,7.27
"Lucas Leiva

Liverpool, 33, D(C),M(C)",32(3),2844,-,2,1,1,0.4,1.6,0.1,0.9,-,7.26
"Kevin Davies

Bolton, 43, AM(L),FW",37,3316,7,7,1.9,2.2,0.3,2.4,0.6,2.6,-,7.26
"Vincent Kompany

Man City, 34, D(C)",21(4),1913,2,1,0.4,0.3,0.2,0.7,-,0.3,-,7.26
"Tim Cahill

Everton, 40, M(C),FW",33,2870,8,4,2.2,1.2,0.3,2.2,0.5,2.2,-,7.26
"Javier Mascherano

Liverpool, 36, D(C),M(C)",31(3),2756,-,-,0.8,0.8,0.5,1.9,-,1.3,-,7.26
"Andrey Arshavin

Arsenal, 39, AM(LR)",25(5),2267,10,1,2.9,1.3,1.4,1,0.7,2.3,-,7.26
"Denílson

Arsenal, 32, M(C)",19(1),1573,3,1,1.1,0.6,0.6,2.1,-,2.1,-,7.25
"John Heitinga

Everton, 36, D(C)",29(2),2591,-,3,1,0.7,0.1,0.9,0.1,0.4,-,7.25
"Phil Jones

Blackburn, 28, D(CR),DMC",7(2),662,-,-,0.6,-,-,0.9,-,-,-,7.24
"John Terry

Chelsea, 39, D(C)",37,3261,2,2,0.7,0.3,0.1,0.6,-,0.2,-,7.24
"Adam Johnson

Man City, 33, M(CLR)",14(2),1180,1,5,1.1,2.1,1.8,1.1,0.3,1.1,-,7.23
"Leighton Baines

Everton, 35, D(L),M(L)",37,3330,1,8,0.9,2.1,0.6,1.5,0.1,1.2,-,7.23
"Cameron Jerome

Birmingham, 34, FW",32,2686,11,3,2.4,1.2,0.6,1.2,0.6,2,-,7.23
"Charles N'Zogbia

Wigan, 34, M(CR)",35(1),3039,5,6,2,2.1,2.6,1.8,0.2,2.9,-,7.22
"James Collins

Aston Villa, 37, D(C)",26(1),2367,1,-,1.1,0.3,0.1,0.4,-,0.1,-,7.22
"Heurelho Gomes

Tottenham, 39, GK",31,2717,-,-,-,-,-,0.1,-,-,-,7.21
"Clint Dempsey

Fulham, 37, M(CL),FW",27(2),2397,7,3,3.7,0.9,0.4,1.7,0.1,2,-,7.21
"Roger Johnson

Birmingham, 37, D(C)",38,3420,-,1,0.6,0.3,0.2,1.7,0.1,0.1,-,7.21
"Ledley King

Tottenham, 39, D(L),DMC",19(1),1548,2,-,0.6,0.2,0.4,0.3,-,0.4,-,7.21
"James McFadden

Birmingham, 37, M(C),FW",32(4),2656,5,3,1.5,1.2,1.9,1.4,0.3,2.4,-,7.21
"Ryan Nelsen

Blackburn, 42, D(C)",25(3),2271,4,1,0.6,0.4,0.1,0.6,0.1,0.1,-,7.20
"Craig Bellamy

Man City, 41, AM(R)",26(6),2379,10,8,1.8,1.6,0.7,0.7,0.7,1.2,-,7.20
"Damien Duff

Fulham, 41, M(LR)",30(2),2546,6,3,1.8,1.6,0.5,1.9,0.2,1.2,-,7.20
"Brede Hangeland

Fulham, 39, D(C)",32,2809,1,-,0.3,0.1,0.5,0.8,-,0.2,-,7.20
"Danny Collins

Sunderland, 40, D(C)",3,270,-,-,0.3,0.3,-,0.3,-,-,-,7.19
"Danny Murphy

Fulham, 43, DMC,M(R)",25,2142,5,-,1.1,1.1,0.5,0.6,-,1.3,-,7.19
"David Bentley

Tottenham, 36, D(C)",11(4),985,2,1,2.3,2,1.3,1.7,0.3,1.1,-,7.19
"Marcus Hahnemann

Wolves, 48, GK",25,2250,-,-,-,-,-,0.2,-,-,-,7.18
"Armand Traore

Arsenal, 30, D(L),M(L)",9,805,-,-,0.1,0.3,0.9,0.6,-,1.1,-,7.18
"Emiliano Insúa

Liverpool, 31, D(L),M(L)",30(1),2722,-,4,0.6,1.1,0.9,0.6,-,0.7,-,7.18
"Kamil Zayatte

Hull, 35, D(C)",21(2),1872,2,1,0.6,0.2,0.3,0.7,0.1,0.5,-,7.17
"Samir Nasri

Arsenal, 33, M(CLR)",22(4),1888,2,4,1.4,2,1.6,0.7,0.2,2.5,-,7.16
"Manuel da Costa

West Ham, 34, D(C)",12(3),1094,2,-,0.6,0.1,0.5,0.7,-,0.5,-,7.16
"Ricardo Carvalho

Chelsea, 42, D(C)",22,1853,-,1,0.6,0.5,0.2,0.2,-,0.1,-,7.16
"John Mensah

Sunderland, 37, D(CL),DMC",14(2),1073,1,-,0.4,-,0.3,1.1,-,0.2,-,7.15
"Tomasz Kuszczak

Man Utd, 38, GK",8,720,-,-,-,-,-,0.1,-,-,-,7.15
"Nicky Shorey

Aston Villa, 39, D(L)",3,270,-,1,0.3,1,0.7,-,-,0.7,-,7.15
"Landon Donovan

Everton, 38, M(CLR),FW",7(3),650,2,3,1,1.5,1.1,1.2,0.2,1.7,-,7.15
"Alessandro Diamanti

West Ham, 37, M(CR),FW",18(9),1818,7,3,3.7,1.8,1.2,1.5,0.1,2,-,7.15
"Matt Upson

West Ham, 41, D(C)",33,2905,3,-,0.6,0.4,-,0.4,-,0.1,-,7.15
"William Gallas

Arsenal, 43, D(C)",26,2340,3,-,0.7,0.1,0.2,0.5,0.3,0.5,-,7.15
"Ronald Zubar

Wolves, 34, D(C)",23,2061,1,2,0.7,0.5,0.3,1.1,-,0.6,-,7.14
"Scott Dann

Birmingham, 33, D(C)",30,2700,-,2,0.5,0.2,0.3,0.5,-,0.1,-,7.14
"Sol Campbell

Arsenal, 45, D(L)",10(1),955,-,-,0.5,0.2,0.4,0.7,-,0.5,-,7.14
"Titus Bramble

Wigan, 39, D(C)",35,3111,2,-,0.5,0.4,0.4,0.6,-,0.5,-,7.14
"Michael Ballack

Chelsea, 43, D(C),M(C),FW",26(6),2366,4,5,1.7,1,0.3,1.3,0.1,0.8,-,7.14
"Wilson Palacios

Tottenham, 36, M(C)",29(4),2533,1,1,0.7,0.8,0.6,1.3,-,1.3,-,7.14
"Pablo Zabaleta

Man City, 35, D(R),DMC,M(R)",23(4),2102,-,1,0.4,0.6,0.3,1.2,-,0.6,-,7.13
"Vedran Corluka

Tottenham, 34, D(C)",29,2556,1,2,0.3,0.8,0.3,0.4,-,0.5,-,7.12
"Maxi Rodríguez

Liverpool, 39, M(CL),FW",14(3),1208,1,3,1.6,1.4,0.2,1.5,0.1,1.3,-,7.12
"Lorik Cana

Sunderland, 37, D(C)",29(2),2597,-,1,0.7,0.5,0.1,1.5,-,0.4,-,7.11
"David Dunn

Blackburn, 40, AM(C)",20(3),1720,9,2,1.7,1.6,1.2,1.7,0.5,1.9,-,7.11
"Paul Scholes

Man Utd, 45, M(C)",24(4),1948,3,3,1.5,0.9,0.6,0.6,-,0.8,-,7.11
"Steven Nzonzi

Blackburn, 31, M(C)",33,2868,2,-,1.2,0.5,0.3,0.6,0.1,0.6,-,7.11
"Steed Malbranque

Sunderland, 40, M(C)",30(1),2093,-,5,1,1.6,1.3,1.4,-,2.4,-,7.11
"Robert Huth

Stoke, 36, D(C)",30(2),2743,3,1,1,0.3,0.2,0.8,-,0.4,-,7.10
"Jermain Defoe

Tottenham, 37, AM(R),FW",31(3),2570,18,4,3.3,1.1,0.9,1.2,1.7,1.9,-,7.10
"Daniel Agger

Liverpool, 35, D(C)",23,1979,-,-,1.2,0.2,0.5,1.3,-,0.1,-,7.10
"Michael Turner

Sunderland, 36, D(C)",29,2550,2,-,0.5,0.1,-,1,-,0.1,-,7.09
"Wes Brown

Man Utd, 40, D(C)",18(1),1573,-,-,0.2,0.3,0.2,1.1,-,0.3,-,7.08
"Will Atkinson

Hull, 31, DMC",2,180,1,-,1,0.5,-,1.5,-,2.5,-,7.08
"Jody Craddock

Wolves, 45, D(CL)",33,2970,5,2,0.5,0.2,-,0.5,-,0.1,-,7.08
"Stephen Hunt

Hull, 39, M(L)",27,2322,6,4,0.9,1.3,0.6,2.4,0.1,2.8,-,7.08
"Jamie O'Hara

Portsmouth, 33, M(C)",25(1),2257,2,4,3.1,2.3,0.7,1.2,0.1,1.8,-,7.08
"Ashley Young

Aston Villa, 35, D(LR),M(LR)",37,3304,5,7,1.7,1.8,0.8,2,0.2,1.9,-,7.08
"Zat Knight

Bolton, 40, D(C)",35,3150,1,-,0.6,0.2,0.3,0.7,-,0.1,-,7.08
"Dirk Kuyt

Liverpool, 40, M(CLR),FW",35(2),3017,9,3,2.1,1.6,0.5,0.9,0.4,1.9,-,7.08
"Kevin-Prince Boateng

Portsmouth, 33, M(CLR),FW",20(2),1847,3,2,3.4,1.8,1,2.1,0.4,2.7,-,7.08
"Michael Turner

Hull, 36, D(C)",4,360,-,-,-,0.3,-,1.8,-,0.3,-,7.07
"Ryan Shawcross

Stoke, 32, D(C)",27(1),2449,2,2,0.9,0.3,-,0.8,0.1,0.3,-,7.07
"Sebastien Bassong

Tottenham, 34, D(C)",25(3),2295,1,-,0.5,0.2,0.1,0.7,-,0.1,-,7.07
"Stephen Warnock

Aston Villa, 38, D(CL),M(L)",30,2596,-,3,0.3,0.9,0.1,0.8,-,0.4,-,7.07
"Bacary Sagna

Arsenal, 37, D(CR)",31(4),2761,-,3,0.3,0.8,0.3,1.2,-,1.1,-,7.06
"Danny Gabbidon

West Ham, 41, D(C)",8(2),715,-,1,0.2,0.2,0.1,0.7,-,0.2,-,7.06
"Mark Noble

West Ham, 33, M(C)",25(2),2123,2,4,1.2,2.2,0.7,0.7,0.1,1.3,-,7.06
"Christophe Berra

Wolves, 35, D(C)",32,2836,-,3,0.4,0.4,-,1.1,-,0.4,-,7.06
"James Tomkins

West Ham, 31, D(CR)",22(1),1997,-,-,0.7,0.2,-,0.7,-,0.2,-,7.05
"Stewart Downing

Aston Villa, 36, D(L),M(CLR)",23(2),2074,2,1,1.8,1.8,0.6,0.4,0.1,1.2,-,7.05
"Younes Kaboul

Tottenham, 34, D(C)",8(2),785,-,-,0.7,0.7,1.6,0.5,-,1.5,-,7.05
"Jonathan Woodgate

Tottenham, 40, D(C)",3,194,-,-,0.3,0.7,-,0.3,-,0.3,-,7.05
"Edwin van der Sar

Man Utd, 49, GK",21,1890,-,-,-,0.1,-,0.2,-,-,-,7.04
"John Obi Mikel

Chelsea, 33, M(C)",21(4),1746,-,1,0.5,0.7,0.4,1.4,-,1,-,7.04
"Aruna Dindane

Portsmouth, 39, AM(C)",18(1),1479,8,2,2.5,1,1.3,3.1,0.4,2.2,-,7.04
"Yuri Zhirkov

Chelsea, 37, D(L),M(CL)",10(7),954,-,2,0.2,1.4,0.5,1.3,-,0.5,-,7.04
"Carlton Cole

West Ham, 36, FW",26(4),2286,10,3,3,1.2,1.2,1.3,1.1,3.9,-,7.04
"Marton Fülöp

Man City, 37, GK",3,270,-,-,-,-,-,0.3,-,-,-,7.04
"Leon Osman

Everton, 39, M(CLR)",25(1),1995,2,1,1.8,0.8,0.9,1.2,-,2.3,-,7.03
"Louis Saha

Everton, 42, AM(L),FW",26(7),2333,13,1,2.9,0.8,0.6,1.5,0.8,2.6,-,7.03
"Michael Carrick

Man Utd, 39, D(C),M(C)",22(8),2112,3,2,1.1,1.1,0.2,0.8,-,0.7,-,7.03
"Patrick Vieira

Man City, 44, D(C),DMC",8(5),815,1,1,0.5,1.2,0.2,1.9,-,1.5,-,7.03
"Clarke Carlisle

Burnley, 40, D(CL)",27,2374,-,-,0.5,0.2,0.1,1,0.1,0.2,-,7.03
"Abdoulaye Diagne-Faye

Stoke, 42, D(CL),DMC",30(1),2386,2,-,0.8,0.1,0.1,0.4,-,0.3,-,7.03
"Matthew Kilgallon

Sunderland, 36, D(CL)",6(1),612,-,-,0.3,-,-,-,-,0.6,-,7.03
"Jamie Ashdown

Portsmouth, 39, GK",5(1),451,-,-,-,-,-,0.2,-,-,-,7.03
"Joleon Lescott

Man City, 38, D(CL)",17(1),1565,1,1,0.4,0.2,-,0.8,0.1,0.2,-,7.02
"Bobby Zamora

Fulham, 39, FW",27,2230,8,4,2.3,1.9,0.1,2.3,1.3,3,-,7.02
"Joe Cole

Chelsea, 38, M(LR)",14(12),1284,2,5,1.5,1.1,1.1,0.5,0.1,1.4,-,7.02
"Wayne Bridge

Man City, 40, D(L)",23,1897,-,-,0.7,0.3,0.7,0.7,-,0.5,-,7.01
"Micah Richards

Man City, 32, D(CR)",19(4),1647,3,1,0.8,0.3,0.9,1.1,-,0.7,-,7.01
"Emmanuel Eboué

Arsenal, 37, D(R)",17(8),1496,1,3,0.6,1,1.7,1.6,0.2,1.3,-,7.01
"Joseph Yobo

Everton, 40, D(C)",14(3),1184,1,-,0.3,-,0.2,0.5,0.1,0.2,-,7.01
"Tal Ben Haim

Portsmouth, 38, D(C)",21(1),1913,-,-,0.4,0.3,0.4,0.6,-,0.4,-,7.01
"Nicklas Bendtner

Arsenal, 32, FW",13(10),1228,6,5,2.3,0.8,0.4,0.6,0.3,2,-,7.01
"John Pantsil

Fulham, 39, D(R)",22,1900,-,1,0.4,0.4,0.9,1.2,-,0.6,-,7.00
"Gaël Givet

Blackburn, 38, D(C),DMC",33(1),2800,2,2,0.3,0.2,-,0.7,-,0.1,-,7.00
"Morten Gamst Pedersen

Blackburn, 39, M(C)",27(6),2424,3,7,1.8,1.8,0.1,1.1,0.4,1.5,-,7.00
"Stuart Holden

Bolton, 35, M(CR)",1(1),114,-,-,1.5,1,-,1,0.5,0.5,-,7.00
"Shaun Wright-Phillips

Man City, 38, M(LR)",19(11),1748,4,7,1.3,1.1,1.9,1.4,0.2,1.6,-,7.00
"Lee Bowyer

Birmingham, 43, AM(CR),FW",34(1),3011,5,2,1.3,0.8,0.2,1.8,0.1,1,-,7.00
"Lee Chung-Yong

Bolton, 32, M(CLR)",27(7),2414,4,3,0.8,1.6,1.2,1.2,0.1,1.6,-,7.00
"Valon Behrami

West Ham, 35, M(C)",24(3),2055,1,1,0.7,0.6,0.7,2.7,-,1.2,-,6.99
"Gary Neville

Man Utd, 45, D(R)",15(2),1355,-,1,0.2,0.8,0.1,0.8,0.1,0.2,-,6.99
"John Carew

Aston Villa, 41, AM(L),FW",22(11),2107,10,3,2,0.5,0.5,0.6,0.6,2.2,-,6.99
